IDTree	Species	DBH	Height	X	Y	BasalArea	Volume	Quadrant
744	Copper beech	11.3	15.4	419299.41	5851600.71	0.010	0.070	4
745	Common pine	23.7	27.5	419299.19	5851600.27	0.044	0.529	4
746	Copper beech	17.4	19.2	419295.58	5851604.76	0.024	0.214	4
747	Copper beech	16.7	18.9	419295.69	5851602.24	0.022	0.196	4
748	Copper beech	23.7	21.4	419298.59	5851593.74	0.044	0.449	4
749	Common pine	38.5	29.4	419299.22	5851590.78	0.116	1.538	4
750	Copper beech	14.3	17.6	419300.38	5851595.71	0.016	0.133	4
751	Common pine	36.5	29.3	419304.12	5851596.54	0.105	1.369	4
752	Copper beech	10.0	14.3	419305.04	5851595.81	0.008	0.047	4
753	Copper beech	12.6	16.5	419305.59	5851590.68	0.012	0.094	4
754	Copper beech	20.6	20.4	419309.56	5851592.78	0.033	0.323	4
755	Copper beech	8.0	12.0	419308.47	5851594.69	0.005	0.017	4
756	Copper beech	12.7	16.5	419308.84	5851597.51	0.013	0.095	4
757	Copper beech	19.5	20.0	419307.79	5851599.74	0.030	0.255	4
758	Copper beech	13.0	16.7	419309.47	5851600.39	0.013	0.100	4
759	Copper beech	16.5	18.8	419311.90	5851590.92	0.021	0.191	4
760	Copper beech	8.1	12.2	419314.43	5851596.70	0.005	0.019	4
761	Copper beech	20.0	20.2	419313.34	5851596.41	0.031	0.289	4
762	Common pine	39.5	29.5	419316.09	5851597.92	0.123	1.627	4
763	Copper beech	21.0	20.6	419317.89	5851595.42	0.035	0.335	4
764	Copper beech	15.0	18.0	419318.58	5851597.93	0.018	0.144	4
765	Copper beech	14.5	17.7	419320.23	5851597.07	0.017	0.138	4
766	Common pine	38.3	29.4	419320.65	5851598.24	0.115	1.524	4
767	Copper beech	23.6	21.3	419322.12	5851600.06	0.044	0.445	4
768	Copper beech	14.8	17.9	419324.26	5851601.36	0.017	0.144	4
769	Common pine	32.3	28.8	419325.61	5851599.07	0.082	1.066	4
770	Copper beech	14.5	17.7	419324.96	5851604.01	0.017	0.138	4
771	Copper beech	10.9	15.1	419328.15	5851602.78	0.009	0.059	4
772	Copper beech	11.4	15.5	419328.47	5851607.05	0.010	0.072	4
773	Copper beech	12.5	16.4	419331.22	5851607.83	0.012	0.092	4
774	Common pine	42.4	29.7	419332.97	5851605.49	0.141	1.905	4
775	Copper beech	19.0	19.8	419333.00	5851603.35	0.028	0.261	4
776	Copper beech	17.6	19.3	419333.63	5851600.69	0.024	0.219	4
777	Copper beech	15.2	18.1	419337.75	5851603.29	0.018	0.153	4
778	Copper beech	15.4	18.2	419336.12	5851606.84	0.019	0.158	4
779	Copper beech	22.9	21.1	419335.16	5851609.42	0.041	0.411	4
